loan_amnt,term,int_rate,installment,annual_inc,dti,open_acc,total_acc,loan_paid_back
13469.11,36,8.38,665.81,165340.26,7.58,6,14,1
34855.83,36,14.55,1000.87,242341.59,26.16,18,28,0
35368.78,60,23.91,1455.98,94402.05,36.24,7,25,1
14657.27,60,11.59,392.28,102701.42,19.0,6,11,1
4247.05,36,18.16,1198.65,97519.3,13.41,23,49,1
29257.76,36,16.77,897.85,164584.82,36.23,16,10,1
13148.98,60,7.99,1426.46,,10.31,4,37,1
31534.02,36,9.96,227.66,141625.62,8.28,12,25,1
18263.54,60,23.6,1087.97,103794.97,35.22,12,25,1
19925.4,36,8.7,84.62,118359.42,25.34,6,13,0
31338.47,60,18.9,392.43,202276.66,7.4,15,34,1
15912.17,60,24.29,501.66,160126.75,25.71,23,32,1
18281.97,36,7.39,665.42,184750.81,35.05,21,25,1
15671.43,60,12.98,1448.99,83647.84,3.57,19,14,1
15326.28,36,9.48,129.37,229643.18,10.27,18,11,1
21511.92,60,9.43,278.4,28087.43,24.17,4,27,1
32543.18,60,7.38,328.48,157010.28,4.6,2,42,1
15108.96,36,17.99,653.28,206840.51,36.22,24,29,1
21445.93,60,19.93,119.23,219245.66,23.72,4,19,1
27158.37,60,18.54,1449.17,93496.9,23.4,9,31,0
11508.14,36,23.49,852.98,125742.7,2.24,13,7,0
11823.39,60,7.91,1225.53,28024.51,16.85,3,43,1
37403.11,36,11.4,1165.57,201646.05,7.8,8,22,1
29217.85,36,11.89,1001.41,48651.56,32.34,18,13,1
23510.28,60,9.64,1359.48,118458.73,13.45,21,9,1
26261.08,36,7.84,1356.5,247886.07,16.12,11,29,1
2142.68,60,14.73,217.82,231079.57,25.63,12,19,1
25106.02,60,21.69,1355.83,95905.42,28.7,20,19,1
20870.85,36,24.09,800.12,71492.54,31.6,3,20,1
22284.24,60,7.59,424.06,77889.27,6.99,12,42,1
15017.53,60,21.46,924.5,177500.7,10.5,20,28,0
4177.48,60,21.49,442.93,186933.37,3.7,9,41,1
8540.23,36,12.78,734.14,69793.41,34.26,9,18,1
38079.04,36,7.2,1230.16,75197.69,12.62,6,35,1
16939.28,60,24.8,77.33,,5.05,12,35,1
19200.64,36,18.11,299.14,,12.45,15,46,1
3055.68,60,24.64,1436.18,,2.29,16,48,1
2465.08,60,14.67,684.29,26096.8,33.46,10,25,1
28970.08,36,12.9,475.89,166785.4,11.48,8,26,1
21985.69,36,9.94,1387.22,218190.45,14.0,8,49,1
20839.53,36,24.67,1369.48,186373.63,37.61,11,25,1
10481.86,60,10.07,95.04,69850.69,7.57,22,37,1
30045.28,36,5.48,562.84,129651.73,8.16,21,37,1
7561.23,60,15.25,1371.85,229364.53,22.42,5,40,1
8407.46,60,12.54,294.26,46615.02,38.89,7,35,1
18967.77,60,10.23,879.97,247127.57,36.05,17,20,1
12164.91,36,17.69,501.54,53033.45,23.72,4,34,0
10651.06,36,12.29,1112.75,52756.04,32.49,3,20,1
26164.27,36,13.05,262.65,206957.64,19.5,15,15,1
26387.9,60,5.46,906.2,210519.7,17.39,2,40,1
33156.17,60,16.78,30.01,28721.29,16.02,8,41,1
17290.63,36,7.44,401.27,58710.24,18.18,4,30,1
3850.32,36,9.28,268.38,238161.36,28.28,21,41,1
11672.99,36,19.34,338.45,84249.41,32.86,4,16,1
39220.21,36,11.26,1294.83,22815.12,23.04,21,48,1
24254.08,36,8.26,1374.75,78429.68,34.76,6,8,1
28679.75,36,16.55,1139.9,189149.49,25.55,22,27,1
1286.96,36,9.3,897.46,230784.28,32.11,6,37,0
21210.02,36,10.42,369.36,55686.01,27.58,19,41,1
2463.62,36,17.43,433.84,71615.18,30.95,7,27,1
23199.98,60,19.8,485.54,121552.2,0.76,21,36,0
36910.06,36,19.79,1172.2,192109.54,34.69,17,47,1
38768.35,36,14.64,401.74,171500.32,35.44,14,23,1
22081.55,60,14.09,1460.88,95332.72,33.65,11,24,1
18869.99,60,20.75,1200.8,35260.92,29.21,4,11,0
37855.67,60,8.86,1499.59,78180.95,31.5,14,36,1
27270.78,60,8.04,704.99,70499.58,7.25,5,11,1
3531.07,60,18.29,896.31,24842.37,1.91,4,44,0
19163.3,60,13.19,442.19,244259.19,11.59,12,10,1
10369.56,60,19.2,917.5,78735.45,17.7,6,36,1
19322.37,36,10.13,1461.63,212403.06,10.83,11,13,1
18763.16,36,11.5,74.66,131518.17,34.83,21,48,1
23703.65,36,22.93,455.25,243626.87,38.58,14,30,0
14914.05,60,13.43,443.5,54397.22,30.83,24,31,1
7406.55,36,16.82,1474.08,45454.83,19.06,20,22,1
20645.06,60,7.13,224.99,20566.47,5.83,12,28,1
33377.91,36,8.58,1224.17,185242.83,34.88,20,39,1
26896.48,60,5.72,433.59,90466.54,33.68,12,28,1
14196.35,36,13.49,1295.09,220181.64,6.49,23,24,1
37485.4,36,24.78,746.99,165775.12,1.95,9,47,0
36576.1,36,22.48,386.12,152809.33,35.96,13,48,1
9164.59,36,17.66,1073.31,131985.05,32.88,11,20,1
2537.29,36,22.22,1267.12,,37.37,22,23,1
29911.04,36,16.88,721.1,34878.36,14.32,3,13,0
33276.8,36,12.38,1079.56,122020.64,,22,21,1
38746.72,60,8.47,296.93,42797.52,34.57,18,14,1
35703.62,60,18.06,1408.29,228318.16,13.66,3,7,1
24420.86,36,8.86,171.78,210745.7,18.98,20,44,1
21672.04,36,13.35,356.27,162545.1,21.27,10,22,0
2085.8,36,21.52,453.89,124061.13,1.17,13,15,0
10619.6,36,7.58,254.55,124464.94,33.14,23,46,1
18924.98,60,7.58,627.82,126838.47,37.75,8,31,1
25511.65,60,9.49,702.87,191456.52,16.69,18,8,1
22732.82,36,16.04,792.33,49027.16,24.45,5,49,1
29962.8,36,10.03,89.98,142198.03,21.66,8,39,1
11910.91,36,15.06,352.09,206913.33,13.92,14,6,1
23033.15,36,11.04,1217.41,137328.95,3.3,22,14,1
4437.55,60,15.12,1221.59,23160.48,20.81,4,49,0
17132.96,60,10.55,515.11,76278.84,9.76,18,24,1
30256.27,60,24.6,707.93,173774.47,26.09,7,35,1
28042.63,60,14.85,299.68,234865.9,21.49,22,48,1
39635.07,36,19.87,1238.55,225562.06,23.62,4,41,1
11837.75,60,19.01,1436.33,209222.13,24.07,17,21,1
20429.38,36,14.81,458.29,238537.76,35.43,20,31,1
13851.69,60,9.78,1179.45,84381.11,5.9,3,9,1
18183.52,60,15.21,548.01,22851.47,32.23,8,22,1
34421.06,36,18.62,33.87,101506.16,38.19,15,24,1
27684.15,60,14.2,911.6,152712.53,28.85,5,9,1
35415.21,36,6.64,633.29,92787.18,5.56,5,42,0
8936.93,36,5.36,1144.9,30166.86,34.01,9,45,1
35061.08,36,11.56,1130.68,136653.01,31.67,14,23,1
3330.73,36,8.0,1420.67,65930.16,34.51,15,13,1
35655.37,36,23.12,673.59,187341.39,19.45,20,22,1
13833.88,60,8.52,739.29,40516.36,32.81,10,41,1
13268.92,60,12.89,618.6,240368.93,6.16,8,7,1
20971.45,36,19.24,466.5,221636.51,23.07,16,32,0
37686.92,36,21.31,967.63,220986.45,22.07,9,7,1
2863.47,36,14.55,1247.21,201674.85,35.87,6,17,1
14737.01,36,8.62,261.98,165725.54,34.52,18,16,1
34406.31,60,10.42,1473.3,32288.68,28.64,15,9,1
16446.12,36,13.38,1035.2,172357.95,6.99,14,20,1
8767.12,60,12.29,1176.76,191793.27,32.27,17,47,1
17566.97,60,11.97,1498.32,50088.58,24.57,23,23,0
16036.55,36,7.64,770.93,161623.89,32.66,6,13,1
36701.23,60,23.27,134.8,130139.52,37.53,9,31,1
30715.44,36,5.6,1191.73,128661.55,18.0,19,14,1
20699.51,36,13.8,1310.03,65876.31,29.78,17,29,1
39546.45,60,24.61,268.72,190070.78,38.92,9,49,1
19145.82,36,18.19,65.48,232778.67,8.55,8,16,1
3271.28,36,12.11,229.66,201194.76,33.88,24,13,1
11228.7,60,7.92,506.23,104877.41,5.68,11,31,1
18006.75,60,24.28,1388.69,246360.78,0.69,11,42,1
7119.2,60,5.28,33.63,103759.17,33.88,15,30,1
37955.04,36,18.63,1211.58,73917.49,38.4,10,37,1
30907.11,60,22.6,1286.64,242659.47,1.29,3,32,1
11463.2,60,5.5,1222.25,201657.8,33.78,20,21,1
24041.38,60,19.5,150.86,195086.15,27.98,4,23,0
29136.52,60,24.98,1028.41,37809.35,27.99,10,29,1
37709.88,36,17.79,1432.24,64165.43,18.38,11,44,0
35383.78,60,13.29,206.93,24259.13,16.68,12,46,1
21092.5,60,22.49,76.57,198629.31,14.92,21,27,1
31211.45,36,16.08,1314.28,83995.88,15.27,12,23,1
22923.65,60,19.99,978.05,50411.48,37.49,22,20,1
22555.45,60,16.76,980.26,61834.98,32.63,13,29,1
5474.94,36,5.77,1447.71,167460.35,12.55,15,21,1
5919.37,36,9.26,1161.56,119601.66,29.62,15,17,1
21651.81,36,6.58,614.24,236521.17,26.26,12,13,1
11485.6,36,7.13,670.69,,33.84,3,32,1
1820.44,36,5.31,242.7,211791.1,3.68,14,35,0
29190.73,60,13.42,476.95,145686.95,28.01,24,11,0
2266.98,60,8.57,684.74,182229.92,9.8,2,11,1
24215.8,60,22.11,413.8,58791.98,9.66,4,40,1
22028.56,60,20.0,1376.33,192266.44,28.23,6,13,1
38783.77,36,16.46,47.35,39700.73,35.8,17,23,1
19884.31,36,14.78,892.92,178957.92,20.64,6,16,1
3480.46,36,10.12,1164.26,127069.05,18.62,23,40,0
22515.83,60,14.5,1106.2,72561.01,,9,31,0
33802.75,36,17.82,976.29,130489.04,1.02,6,38,0
39877.12,36,20.64,633.19,216805.97,28.28,24,30,1
17783.38,60,6.63,1380.16,55585.41,2.25,10,42,1
13491.65,36,19.17,513.55,59014.08,9.78,7,26,1
36359.48,36,19.85,1132.7,142819.37,26.68,17,25,1
8458.44,60,16.18,1392.18,163808.55,15.21,5,11,1
25001.73,60,9.29,218.72,116645.95,11.81,14,42,1
16822.86,36,15.78,1422.21,81270.3,20.17,10,11,0
2602.21,60,15.05,1170.77,35454.18,33.99,4,35,1
14544.25,36,14.51,936.39,31452.42,17.04,20,41,1
11343.91,60,14.21,578.9,29388.62,21.32,13,48,1
27757.56,60,7.22,1359.27,227295.1,6.32,16,18,1
38002.83,60,8.66,94.74,50212.15,17.79,11,36,1
11453.84,60,6.95,664.79,87878.4,0.66,17,30,1
32647.17,36,9.85,1142.25,246755.23,33.53,14,12,1
3159.03,36,10.27,1222.38,233319.19,8.27,19,18,1
21986.72,36,9.9,327.35,29858.24,36.8,12,19,1
3751.45,60,9.22,99.98,146790.63,14.31,7,21,1
37427.29,36,19.71,1210.19,165704.65,33.44,12,22,1
30887.7,60,21.37,650.18,32446.25,15.58,19,30,0
26660.05,36,11.54,240.98,187469.01,6.11,12,20,1
33131.96,60,11.1,155.79,247210.1,20.15,3,42,1
26253.27,60,21.88,971.74,118757.3,10.42,20,42,0
38788.83,60,17.48,886.74,,12.92,4,9,1
28844.36,36,10.87,1285.37,171649.78,12.65,19,41,1
37061.69,36,19.27,76.4,189404.67,13.83,16,22,1
21168.14,36,11.89,1306.59,201647.64,19.92,16,44,1
5565.51,36,16.73,1334.25,37843.36,5.11,3,36,1
21598.93,60,24.85,686.06,204158.44,10.31,23,19,1
5948.04,60,11.03,142.7,218737.01,25.29,9,30,0
24107.25,60,23.61,1421.71,30402.27,30.23,16,46,1
19817.23,60,11.41,135.88,29001.05,9.75,11,7,0
25280.44,36,15.81,898.29,146704.81,10.48,11,5,1
1391.83,36,14.2,754.94,134265.52,19.12,21,21,1
8598.78,60,20.66,1257.58,245422.24,39.24,21,14,1
20161.89,36,6.22,768.83,87712.35,22.01,7,19,1
38069.64,60,17.54,719.61,155746.0,32.54,16,42,0
15960.75,60,20.21,1324.56,136534.85,36.75,22,49,1
17550.51,60,14.44,1447.09,143218.66,25.48,5,7,0
28873.15,36,7.11,837.43,171723.71,20.77,12,48,0
24547.92,60,9.9,698.44,143646.85,30.58,22,21,1
12658.12,36,18.59,1251.71,21597.25,12.76,10,9,1
17021.84,60,22.91,1251.71,214053.36,38.9,6,34,1
9490.29,36,13.43,499.49,66265.51,19.01,24,49,1
38674.84,36,16.21,877.05,73165.56,37.13,2,24,0
6094.74,60,9.57,256.55,169033.74,30.39,14,21,1
15501.63,60,13.24,964.25,129882.88,8.46,20,14,1
2007.72,36,11.74,1255.96,152130.39,8.83,7,9,0
9649.4,36,18.11,305.65,134424.76,13.99,7,10,1
31438.37,36,24.69,504.88,116108.4,14.88,12,31,1
8845.83,60,21.27,689.93,131159.57,0.6,2,45,1
4122.47,60,8.84,1272.27,52449.64,34.23,3,27,1
19503.67,36,16.55,1105.11,242940.33,9.62,5,35,1
1388.8,36,6.33,495.8,152192.91,32.99,4,21,1
4305.88,36,9.94,387.26,,19.31,6,10,1
32497.41,60,8.44,1052.69,183953.26,23.68,6,42,1
31087.46,60,11.71,735.43,222424.41,21.46,7,43,1
36690.41,36,18.58,902.52,88187.56,37.79,7,5,1
34326.1,36,14.99,983.59,94637.66,16.72,12,48,1
27643.85,60,23.66,851.27,120866.2,15.55,21,41,1
3040.98,60,9.25,931.22,69976.65,24.6,11,16,1
31531.1,36,12.28,1334.63,206251.33,15.27,16,9,1
33974.92,36,11.6,1306.25,154360.64,24.3,19,7,1
32164.2,36,9.72,249.08,33120.24,22.9,5,43,1
20830.68,60,24.86,892.15,249241.94,31.0,7,7,1
10083.17,36,12.74,675.77,152243.45,39.6,8,8,1
33967.87,36,23.81,449.71,224685.36,39.09,5,9,1
29359.35,36,12.81,957.79,135372.18,4.95,10,46,1
39249.69,60,9.08,781.0,153963.38,18.08,24,27,1
7072.01,60,7.38,1169.11,124529.31,16.89,24,40,1
9800.92,60,22.11,167.34,117234.97,7.63,2,44,1
9260.13,36,5.64,474.94,70210.02,29.75,24,13,1
31909.05,60,24.29,67.9,241288.58,38.74,24,48,1
8289.38,60,13.36,1126.56,61807.39,6.11,3,20,1
3599.73,60,9.95,1371.31,141072.98,10.89,7,35,0
39943.87,60,17.35,893.44,40032.27,34.2,11,24,1
1967.87,60,7.66,936.96,248476.69,12.21,24,36,1
33574.52,36,6.44,98.24,147805.57,17.65,12,33,1
15249.31,36,21.56,770.56,207354.14,29.61,18,46,1
33823.0,36,13.49,804.5,149473.64,5.04,18,14,1
22630.2,36,15.37,87.29,205146.6,21.09,19,41,1
36163.62,36,8.53,1180.11,142914.28,4.39,21,30,1
37121.53,60,6.23,439.13,122344.1,12.21,10,10,1
1354.83,60,12.36,1093.47,124858.33,9.48,24,14,1
3941.07,36,15.12,622.3,20539.01,29.21,20,22,1
10763.99,60,20.31,1493.6,105250.64,6.03,17,19,1
27103.3,36,15.02,341.94,238947.13,26.48,15,25,1
35642.62,36,20.65,115.61,175382.67,23.02,8,16,0
18937.74,60,7.31,1470.46,231443.37,27.03,5,18,1
24671.95,36,6.28,388.45,66060.39,35.06,15,38,1
8351.49,60,8.18,963.94,132966.86,21.36,3,26,0
32393.71,36,20.44,580.62,27930.84,28.82,13,29,0
38725.8,60,20.19,970.25,175721.99,32.18,10,37,1
11475.36,60,7.83,906.21,200323.74,27.83,5,40,1
20298.21,60,5.62,1069.69,191994.32,12.76,9,5,1
4358.53,60,18.71,57.11,39957.1,38.46,2,10,1
22806.33,60,22.11,1259.21,76931.36,2.43,13,24,1
20608.55,60,20.08,733.64,170840.29,14.89,11,10,0
6633.02,36,9.06,792.71,194567.95,32.85,19,31,1
18240.58,36,16.68,634.21,83068.43,14.0,6,15,1
14030.08,60,20.15,1484.39,113435.44,21.84,23,28,1
21351.4,60,10.12,1208.31,,5.38,23,49,1
23840.52,36,15.55,487.75,21049.93,34.27,5,45,1
1331.33,36,11.29,1181.11,152598.01,37.25,17,24,1
30679.23,36,9.51,672.38,173895.94,39.36,11,27,1
28807.56,36,24.39,1308.92,83580.21,3.08,15,9,1
15285.17,36,23.25,75.34,178190.44,7.97,4,35,0
3064.5,60,13.91,552.45,75832.22,19.8,16,7,1
30442.37,36,7.74,661.83,184571.99,10.9,12,35,1
38251.83,36,19.56,1124.05,125153.11,25.7,15,33,1
10365.91,36,10.11,297.98,220545.03,33.82,15,38,1
13617.46,60,8.37,450.83,145288.92,5.08,18,35,0
8168.7,36,12.63,1094.1,62470.16,0.13,5,17,1
23500.51,36,15.6,142.96,209062.59,39.75,11,48,1
7038.81,60,6.95,325.65,198866.06,18.02,12,27,0
14891.56,60,16.43,1137.45,39372.48,2.74,6,15,0
28183.51,36,5.31,1317.03,31049.36,23.54,22,29,1
22844.52,60,22.84,1101.38,51346.94,30.13,6,34,1
16072.04,36,23.41,804.89,214422.46,32.05,7,21,1
17389.73,36,19.66,175.62,93687.99,22.77,16,25,1
22922.32,60,14.33,1246.02,136092.83,27.18,15,6,1
1228.72,36,10.1,212.34,158682.27,19.05,22,20,1
4061.88,60,19.88,596.07,191000.73,24.79,18,26,1
35369.06,60,23.64,104.23,210889.72,38.06,8,21,1
4037.28,60,8.17,1073.22,138649.07,39.5,2,45,1
28565.34,60,14.32,770.14,115624.71,25.1,2,39,0
36881.49,36,11.31,1364.18,65066.61,23.36,18,6,1
11556.66,36,12.13,233.95,159729.68,13.82,17,29,0
15449.17,36,13.12,1234.17,146471.72,12.97,17,30,1
23187.93,60,24.04,780.68,86966.88,36.98,5,48,1
35386.65,36,10.17,568.16,122626.8,26.61,12,35,1
37734.32,60,14.85,976.04,190119.74,18.34,6,37,0
29842.97,36,24.03,1191.91,164228.41,26.64,6,22,0
4378.17,60,14.52,677.22,130800.37,4.84,3,28,1
27097.01,36,22.27,372.22,82632.78,37.74,16,18,1
17001.85,36,6.18,1376.21,173640.99,20.89,14,28,1
19357.34,60,24.06,490.11,164361.34,13.36,3,47,1
2916.79,36,8.75,1497.41,125393.72,0.53,12,44,1
8451.42,60,24.6,1157.97,74860.53,27.09,4,9,1
31830.03,60,8.51,1041.09,60221.6,38.78,5,30,1
18704.39,36,13.89,48.23,98061.88,22.34,7,6,1
12764.83,36,11.17,689.34,229004.42,13.31,24,16,1
15976.74,36,13.66,768.62,193393.92,,13,39,0
34321.58,60,10.01,583.27,224946.05,22.75,20,47,1
30210.96,60,24.31,250.46,213797.77,27.55,20,39,0
11620.3,60,11.11,570.15,125542.99,7.33,12,33,0
5582.57,60,18.07,140.21,142001.77,37.4,8,36,1
10827.93,60,7.75,457.65,59004.8,16.57,18,34,1
36909.5,60,21.49,153.01,185800.59,24.98,2,20,1
23681.96,60,15.85,1136.06,117048.23,36.46,21,42,1
21805.73,60,24.59,1016.6,57091.88,23.13,18,6,1
24259.35,60,13.47,1411.7,41931.6,27.34,11,22,1
15275.1,36,8.91,588.5,180111.01,25.33,15,13,1
32477.17,60,11.92,1185.72,130906.68,9.92,7,5,1
21408.16,60,19.74,893.78,22068.94,38.52,17,26,1
5553.17,36,18.18,979.77,209638.59,18.9,7,25,1
6033.54,36,20.57,834.77,162476.31,3.94,6,22,1
21937.51,60,6.47,1175.37,28826.57,39.92,17,31,0
37526.24,36,16.61,91.73,90077.51,26.0,20,48,0
13025.73,36,23.64,148.32,186153.31,24.34,12,21,1
34912.11,60,7.16,171.01,33576.84,36.66,20,14,1
30799.73,60,6.89,454.38,189338.09,21.67,16,35,1
10664.69,36,19.33,898.96,136125.9,14.42,8,30,1
2417.29,60,11.3,979.06,200057.2,6.99,20,8,1
4972.04,36,18.17,1077.53,216704.5,32.42,7,20,1
29411.26,60,15.91,442.72,196584.44,13.24,14,15,1
8787.12,60,24.72,985.81,37957.23,20.66,6,5,1
15479.57,36,22.78,203.0,125885.9,20.36,10,39,0
20566.27,36,18.56,44.67,93309.19,29.62,22,19,0
29293.26,36,10.23,1051.18,136953.26,27.37,18,36,1
5416.02,36,10.24,1081.95,242134.45,16.94,8,49,1
16848.29,36,22.64,944.55,48611.13,17.04,16,14,1
19917.84,60,16.71,410.54,219087.61,10.81,12,10,1
22092.26,60,20.79,1393.38,247896.22,13.64,11,27,1
32916.07,36,14.0,1317.24,247705.06,28.46,10,30,0
7695.45,36,7.06,787.84,203238.54,22.49,6,9,1
32505.43,36,11.65,1484.04,127083.51,2.04,15,28,0
28022.26,60,8.22,468.97,60940.14,20.33,18,17,1
22678.96,60,20.64,751.97,159889.01,38.2,15,18,1
28281.59,36,19.01,1394.05,160385.72,4.37,10,23,0
17068.69,60,6.77,709.32,92779.94,4.2,2,6,0
6397.51,60,17.43,722.38,161869.11,26.71,6,30,1
26964.84,36,22.48,146.71,46805.85,38.31,21,47,1
21462.22,36,18.95,340.68,165821.94,1.07,20,35,0
25935.62,60,15.22,262.06,226246.15,13.78,24,35,1
14181.95,60,11.24,860.94,128575.02,2.68,16,24,1
36367.8,60,22.74,498.18,195849.48,10.63,14,31,1
23907.42,60,13.46,143.23,166197.33,22.18,9,44,1
4330.7,60,22.11,779.66,20704.75,17.68,12,23,1
18542.36,36,20.66,1013.75,48059.64,14.53,17,32,1
30497.89,60,21.32,1112.69,198212.14,8.43,24,47,1
31971.25,36,24.8,1261.15,29304.17,24.78,19,18,0
20289.29,36,19.98,738.48,239936.96,23.03,22,45,1
35895.16,60,5.68,604.2,225637.52,26.52,19,10,0
11439.07,36,9.11,1035.66,103346.24,31.73,21,16,1
17013.35,60,5.7,49.65,91388.29,29.18,19,11,1
36045.28,36,8.8,961.28,160974.31,38.29,8,20,1
35954.01,60,6.23,626.35,160712.3,6.78,14,43,1
27742.8,36,15.03,695.73,40477.63,38.06,21,23,1
34500.24,60,5.56,465.52,69538.71,6.89,7,39,1
4462.16,60,14.45,217.1,166387.31,33.71,5,35,1
34734.8,36,22.98,620.09,204177.22,31.54,6,42,1
13504.18,36,19.97,483.06,64160.57,26.64,3,12,1
7954.93,36,23.88,1441.37,181444.41,28.25,7,46,1
10335.42,60,9.53,1417.0,220209.31,27.66,20,14,0
17300.77,36,15.62,976.56,47095.18,21.2,16,21,1
10796.49,36,11.37,1358.44,120993.78,1.31,3,42,0
13502.14,60,14.88,1134.37,215627.77,23.18,22,34,1
6264.16,60,16.14,538.46,105244.19,15.57,5,24,1
12550.89,36,5.72,917.73,81975.19,10.89,10,41,1
23319.07,36,9.67,353.88,191491.39,19.6,21,31,1
18232.29,60,19.1,1040.2,112178.92,33.92,18,32,1
14522.03,60,20.46,95.87,182451.7,23.13,24,6,1
30111.63,60,16.39,1252.07,49069.98,38.59,11,28,1
35846.89,36,10.42,887.35,147307.51,16.82,16,35,0
30514.78,36,13.1,115.9,107275.99,6.73,18,6,1
13948.03,60,6.92,1311.49,249380.16,12.59,6,32,0
30033.24,60,24.06,1320.22,156020.03,5.79,15,41,1
6927.23,60,22.37,1283.64,176898.02,27.4,22,36,1
6082.4,36,6.31,1168.22,50138.08,6.38,7,11,1
14479.45,36,8.33,1026.55,248152.92,20.73,4,14,0
32500.39,36,16.62,613.46,31823.03,36.94,7,8,1
10607.58,36,9.65,230.42,36292.43,17.35,13,23,0
3466.88,60,23.69,454.5,37419.11,16.11,4,17,1
6136.67,60,20.11,540.2,220238.15,8.13,20,35,1
34491.05,36,10.47,556.37,187575.54,30.15,11,40,0
25717.55,60,5.12,861.27,243802.18,12.17,11,35,1
10874.85,60,20.99,336.32,35308.88,39.62,3,27,0
22656.54,36,13.48,308.8,179085.4,6.67,5,35,1
21575.61,60,17.85,1083.94,142651.94,0.09,14,20,1
26562.0,36,10.74,41.03,167001.32,21.58,23,26,1
10094.31,36,7.86,249.79,137970.77,2.75,17,13,1
34711.72,36,18.51,669.39,175329.8,14.79,2,25,1
13065.37,60,14.01,249.15,228623.59,18.07,6,5,0
28071.13,36,9.7,1440.92,155118.99,9.93,6,19,1
1628.86,60,7.75,1015.05,226175.65,39.12,14,11,1
15533.63,60,16.61,666.17,199897.33,13.79,13,31,1
14716.68,36,19.51,195.02,218932.53,5.79,17,37,1
22195.89,36,10.68,596.22,171627.7,1.49,21,22,0
3836.71,36,19.7,986.38,139279.33,12.38,7,10,1
31815.12,36,8.66,1454.16,35997.51,32.84,17,28,1
9493.45,36,11.77,724.85,212027.57,9.84,24,30,1
27404.47,60,19.9,1047.85,75662.47,23.95,3,12,1
32325.27,60,18.2,317.18,28432.03,39.56,13,44,1
22913.2,60,10.41,946.74,139386.37,,16,11,1
29894.45,36,7.44,381.41,165478.6,24.64,13,38,1
26812.55,36,5.85,321.26,172221.22,23.98,4,34,1
14865.66,60,21.76,778.55,,23.77,6,25,1
32545.48,36,6.5,341.15,170356.15,38.14,11,16,1
12493.35,60,7.3,1090.35,205884.19,31.44,14,19,0
23277.3,60,9.75,1407.88,196953.17,,20,24,0
30070.51,60,13.91,608.6,,1.12,12,38,0
15779.28,36,20.8,504.02,125860.29,1.6,13,48,1
12807.94,36,9.95,288.55,34448.31,14.58,14,16,1
18914.49,60,15.87,603.88,167102.54,17.59,18,10,1
32900.58,36,6.81,852.66,68349.39,32.29,11,45,1
37266.95,36,14.29,578.27,217689.96,25.45,9,39,1
22258.25,36,8.55,945.92,185983.12,40.0,12,32,1
26797.18,60,9.22,1003.76,196150.07,31.76,21,29,1
36227.67,60,12.34,173.81,85877.11,34.94,24,43,1
4843.33,60,20.23,1055.74,165602.44,7.28,4,9,1
10051.06,60,19.88,1353.47,141459.31,25.66,18,28,1
28647.1,60,13.3,68.59,81743.93,5.96,10,33,1
33126.03,36,7.37,840.49,206811.89,27.0,14,33,1
34424.13,60,10.61,917.7,146490.44,32.39,14,16,1
17189.18,36,15.11,1073.43,63881.3,12.01,22,12,1
4484.26,60,22.39,597.08,90206.84,6.69,18,6,1
18073.48,36,24.37,1233.5,72234.72,9.5,24,44,1
9998.65,36,17.75,823.65,91851.98,32.44,9,35,1
12356.66,60,12.01,631.14,,21.88,19,6,1
31118.43,36,18.87,1087.31,105361.95,21.46,4,21,1
3945.56,36,11.72,1393.24,179616.13,23.07,13,25,1
33275.67,36,17.51,1223.64,240638.87,19.69,11,45,1
17679.09,36,9.88,1398.08,68423.29,34.54,22,16,1
24246.49,36,10.34,420.92,88960.81,20.3,12,44,1
4496.44,36,6.5,204.21,20495.32,23.84,5,7,1
14157.0,60,13.4,815.49,71820.07,39.19,11,7,1
4498.34,36,17.36,95.31,116243.93,18.21,12,29,1
38500.21,60,20.78,1021.65,126199.6,7.49,2,28,0
32483.2,36,21.21,382.8,81256.24,22.52,11,44,1
18925.68,36,24.85,697.89,54574.28,28.18,19,35,1
9720.5,36,6.76,993.68,149506.04,5.01,15,7,1
37404.75,36,14.86,740.15,114113.52,6.48,3,14,1
14439.27,36,15.43,377.01,118041.15,0.97,24,32,1
7278.39,36,21.09,1324.14,225845.53,29.78,11,37,0
22963.41,36,10.33,1153.87,149131.87,8.09,3,26,1
37807.19,36,6.39,913.58,109318.06,36.04,21,21,1
1149.38,60,11.28,1056.85,78371.66,20.62,11,45,0
10286.87,60,24.68,640.53,118577.47,38.21,13,8,1
37599.46,60,22.99,582.56,218229.74,15.32,9,22,1
7672.35,60,12.9,265.36,241973.01,38.23,24,26,0
5416.49,36,22.53,1211.28,106763.08,39.1,6,9,0
23237.3,36,5.66,590.14,68065.89,5.2,4,20,0
34611.91,36,11.28,1047.72,230339.52,5.0,8,16,1
19607.28,60,19.54,470.91,53220.51,16.94,9,46,1
39788.01,60,9.43,1200.1,88398.61,16.56,3,38,1
27487.7,60,8.97,184.71,66953.57,26.0,11,45,1
3888.92,36,22.24,948.77,150140.8,4.51,21,9,1
39720.45,36,17.32,1217.16,113987.46,30.25,10,7,1
16907.88,60,24.78,1000.57,86048.26,9.0,19,36,1
12208.7,36,7.69,1053.29,196623.47,6.02,15,48,1
22757.29,36,12.12,803.2,172746.84,31.78,20,5,0
12868.0,36,11.22,851.78,248967.64,3.21,3,6,1
4371.84,60,22.6,126.86,91757.29,28.46,22,49,1
